Lieferant;Artikel-Nummer;Artikel;Menge;Einheit;matched_material;matched_category;similarity_score;matched_oeko_unit;calculated_co2e_a1_a3;calculated_co2e_a4;total_co2e;calculation_status
Sülzle Stahlpartner GmbH;B410;Betonstahl B 500 B  10,00 mm;156866.0;kg;Getuftete Teppichbahnenware mit PA6 Polmaterial und textilem Rücken, LC4;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.084;qm;0.0;12549.28;12549.28;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;Q335;Baustahlgewebematte  Q 335 A;148347.0;kg;Betonfertigteil Wand, Dicke 12cm;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0958;qm;0.0;11867.76;11867.76;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B414;Betonstahl B 500 B  14,00 mm;137484.0;kg;Isospan 2 GaBi Holzbetonmantelsteine mit EPS-Dämmung Expert 43/15 ohne Füllbeton;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0853;qm;0.0;10998.72;10998.72;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;ZL63;Matten schneiden;108399.0;kg;Fenster - Solarlux GmbH - Ganzglassystem System (SL23) Proline S mega;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.086;qm;0.0;8671.92;8671.92;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B412;Betonstahl B 500 B  12,00 mm;106451.0;kg;RAVATHERM? XPS (X) Isolierung aus extrudiertem Polystyrolschaum mit halogenfreiem Treibmittel;'Dämmstoffe' / 'Extrudiertes Polystyrol (XPS)' / 'XPS weiß';0.0777;m3;290386.4218;8516.08;298902.5018;Success: m³ unit
Sülzle Stahlpartner GmbH;B408;Betonstahl BST 500 A/B  8,00 mm;92432.0;kg;Splittmastixasphalt (SMA);'Mineralische Baustoffe' / 'Asphalt' / 'Splittmastixasphalt';0.0922;kg;8485.1782;7394.56;15879.7382;Success: kg unit
Sülzle Stahlpartner GmbH;B416;Betonstahl B 500 B  16,00 mm;75218.0;kg;Halbzeuge - EMERUS d.o.o. - Elektrostatisch pulverbeschichtetes Aluminiumprofil;'Metalle' / 'Aluminium' / 'Aluminiumprofil';0.0844;kg;616787.6;6017.44;622805.04;Success: kg unit
Sülzle Stahlpartner GmbH;B420;Betonstahl B 500 B  20,00 mm;48218.0;kg;Holcim Duo 4 N Siloware Werk Bremen;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0926;kg;21956969.161;3857.44;21960826.601;Success: kg unit
Sülzle Stahlpartner GmbH;Q524;Baustahlgewebematte  Q 524 A;38658.0;kg;Sicherheits-Drehtür Geryon K9;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0873;pcs.;0.0;3092.64;3092.64;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;B425;Betonstahl B 500 B  25,00 mm;28158.0;kg;blaugelb Bankanschlussprofil EPS;'Dämmstoffe' / 'Expandiertes Polystyrol (EPS)' / 'EPS grau';0.0993;m3;126320.0222;2252.64;128572.6622;Success: m³ unit
Sülzle Stahlpartner GmbH;Q257;Baustahlgewebematte  Q 257 A;14614.0;kg;Therma? TW58;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU mit Aluminium';0.0866;qm;0.0;1169.12;1169.12;Error: Unit 'qm' not supported
Stark Deutschland GmbH;1040846;RAW Zementmörtel 30 kg/Sa;6300.0;kg;Schnittholz;'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0823;m3;0.0;504.0;504.0;Success: m³ unit
Stark Deutschland GmbH;155410;BAUMIT ZementMauermörtel ZM 92 hochbe- lastbar Körn. 0-4 mm grau 35 kg/Sa;5040.0;kg;Walzplattiertes Grobblech mit UNS N06625 / 2.4856 Auflage;'Metalle' / 'Stahl und Eisen' / 'Stahlbleche';0.0772;kg;25485847.2199;403.2;25486250.4199;Success: kg unit
BayWa AG;1490798;EXTE BETON-SCHLANGE M.NOPPEN BSN 35-80;3593.28;kg;RAVATHERM? XPS (X) Isolierung aus extrudiertem Polystyrolschaum mit halogenfreiem Treibmittel;'Dämmstoffe' / 'Extrudiertes Polystyrol (XPS)' / 'XPS weiß';0.0961;m3;9802.0659;287.4624;10089.5283;Success: m³ unit
Sülzle Stahlpartner GmbH;ZL64;Aufpreis Matten schneiden längs;3367.0;kg;Europa 200x100x60 mm Holzkohle, Mix Design ID: Bur/EW60/1,5 RMCBP11, Werk: Barton, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0849;qm;0.0;269.36;269.36;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B428;Betonstahl B 500 B  28,00 mm;3111.0;kg;EPD Kunststoffdachfenster - Roto Frank DST - Designo 2fach-Verglasung;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Kunststofffenster';0.0913;qm;0.0;248.88;248.88;Error: Unit 'qm' not supported
BayWa AG;1951412;NEVOGA FASERBETON SCHLANGE MIT NOPPEN 35MM L=80CM;2250.0;kg;Dune Max Deckenplatten;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten';0.094;qm;0.0;180.0;180.0;Error: Unit 'qm' not supported
Stark Deutschland GmbH;250773;P&T 2011 EuroGrout Plast 04 Unterstopfmörtel Körn. 0-4 mm 25 kg/Sa;1800.0;kg;Sirux Luminaire (LTS Licht & Leuchten GmbH);'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0868;pcs.;0.0;144.0;144.0;Error: Unit 'pcs.' not supported
Stark Deutschland GmbH;1090540;RAW Mauermörtel M5 30 kg/Sa;1260.0;kg;Kentaur;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Stahl';0.0928;pcs.;0.0;100.8;100.8;Error: Unit 'pcs.' not supported
Stark Deutschland GmbH;506615;HASIT KOBA Bau- & Fliesenkleber 25 kg/Sa;1200.0;kg;RAVATHERM? XPS (X) Isolierung aus extrudiertem Polystyrolschaum mit halogenfreiem Treibmittel;'Dämmstoffe' / 'Extrudiertes Polystyrol (XPS)' / 'XPS weiß';0.0949;m3;3273.4658;96.0;3369.4658;Success: m³ unit
BayWa AG;1951404;NEVOGA FASERBE.  SCHLANGE O. NOP. 35-80;1125.0;kg;Medium Density Fibreboard (MDF);'Holz' / 'Holzwerkstoffe' / 'Holzfaserplatten';0.0988;m3;0.0;90.0;90.0;Success: m³ unit
