Lieferant;Artikel-Nummer;Artikel;Menge;Einheit;matched_material;matched_category;similarity_score;matched_oeko_unit;calculated_co2e_a1_a3;calculated_co2e_a4;total_co2e;calculation_status
Froschmeier GmbH & Co. Betriebs KG;2200120;UFIX-Flächenstab m.A. 25mm PVC-frei Ausführung strong, DBV-/WU geprüft;192.0;Bündel;Produkte auf Basis Epoxidharz, Gruppe 4;'Beschichtungen' / 'Reaktionsharze' / 'Reaktionsharze auf Epoxidharzbasis';0.085;kg;791.4247;15.36;806.7847;Success: kg unit
Froschmeier GmbH & Co. Betriebs KG;7100050;HOLZ-Dreikantleiste 11 x 11 (c = ca. 15 mm) Bund á 200 m.;25.0;Bündel;ANNA VARIOFLEX 3 Q596 4400 830/35/40DALI;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0819;pcs.;765.0927;2.0;767.0927;Success: Converted: 25.0 pcs × 1.000 kg/pc = 25.00 kg
Froschmeier GmbH & Co. Betriebs KG;7100050;HOLZ-Dreikantleiste 11 x 11 (c = ca. 15 mm);10.0;Bündel;Heradesign Akustikplatten Euroklasse B;'Dämmstoffe' / 'Holzwolleplatten' / 'Holzwolleleichtbauplatten';0.0936;qm;0.0;0.8;0.8;Success: Converted: 10.0 m² × 0.01m = 0.100 m³
Froschmeier GmbH & Co. Betriebs KG;6400080;STRECKMETALL - Flachripp 250 x 60 cm verzinkt;10.0;Bündel;Vegetationssubstrat;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Substrate';0.1113;kg;0.0;0.8;0.8;Success: kg unit
Froschmeier GmbH & Co. Betriebs KG;8900050;BINDEDRAHT-Röllchen,Drahtmaus 1,4 mm geglüht, im Eimer;72.0;Eim;Flüssiggastank 2700 l/1,2 t (oberirdisch);'Gebäudetechnik' / 'Heizung' / 'Speicher';0.0929;pcs.;123051.725;5.76;123057.485;Success: Converted: 72.0 pcs × 1.000 kg/pc = 72.00 kg
Froschmeier GmbH & Co. Betriebs KG;8900540;BINDEDRAHT-Röllchen, Drahtmaus 1,4 verz. verzinkt, im Eimer;72.0;Eim;Janisol Arte 2.0 Tür Breite x Höhe: 1230 mm x 2180 mm;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Stahl';0.0928;qm;46.9616;5.76;52.7216;Success: Converted: 72.0 m² × 0.01m = 0.720 m³
Froschmeier GmbH & Co. Betriebs KG;1123112;FRANK-Mauerstärken 22mm / 48cm aus WU-Faserbeton;13.0;Karton(s);Glasvliestapete für Wand und Decke;'Beschichtungen' / 'Innenbeschichtungen' / 'Wand- und Deckenbeläge';0.0837;qm;0.9962;1.04;2.0362;Success: Converted: 13.0 m² × 0.15m = 1.950 m³
Froschmeier GmbH & Co. Betriebs KG;1123036;FRANK-Mauerstärken 22mm / 38cm aus WU-Faserbeton;4.0;Karton(s);Kabel 3 adrig;'Gebäudetechnik' / 'Elektro' / 'Kabel';0.0859;m;1.6742;0.32;1.9942;Success: Converted: 4.0 m × 1.000 kg/m = 4.00 kg
Sülzle Stahlpartner GmbH;B410;Betonstahl B 500 B  10,00 mm;156866.0;kg;Heradesign Superfine 15 mm;'Holz' / 'Holzwerkstoffe' / 'Holzzementplatten';0.0748;qm;0.0;12549.28;12549.28;Success: Converted: 156866.0 m² × 0.15m × 507.5 kg/m³ = 11941424.25 kg
Sülzle Stahlpartner GmbH;Q335;Baustahlgewebematte  Q 335 A;148347.0;kg;Kooltherm® K8 D Plus;'Dämmstoffe' / 'Phenolharz-Hartschaum (PF)' / 'PF-Platten';0.0973;qm;442782.1202;11867.76;454649.8802;Success: Converted: 148347.0 m² × 0.01m × 34.1 kg/m³ = 50586.33 kg
